date,avg,min,max
2025-03-24,1.0554068707203904E-4,7.434058352364455E-5,1.379526947860292E-4
2025-03-25,1.2373493011083657E-4,9.772732487217888E-5,1.3867326656690344E-4
2025-03-26,1.3503994350578087E-4,1.0758088142928297E-4,1.7754307191371015E-4
2025-03-27,7.46926863191949E-5,4.889204501517661E-5,9.843103180191479E-5
2025-03-28,8.910811578645349E-5,5.549879278980864E-5,1.2573480489676332E-4
2025-03-29,1.1675273034240935E-4,6.809354090356327E-5,1.4839743380450944E-4
2025-03-30,8.633306719036838E-5,6.57276468699926E-5,1.0993711475768332E-4
2025-03-31,1.857621991130908E-4,1.3881830091116667E-4,2.151561784560146E-4
2025-04-01,6.548558076637848E-5,5.836758282373555E-5,7.652786734993357E-5
2025-04-02,7.056176493319635E-5,6.49781432001527E-5,7.891445961477657E-5
2025-04-03,1.497763290554586E-4,1.2197032402560959E-4,1.7622931920287038E-4
2025-04-04,1.505666947361291E-4,1.1365742830071984E-4,1.9869081734235578E-4
2025-04-05,1.1821029907563333E-4,9.928358122120138E-5,1.4140271377996688E-4
2025-04-06,1.0578352566699802E-4,8.908356539887854E-5,1.2181325291770988E-4
2025-04-07,1.8512150894181562E-4,1.2858970148939966E-4,2.5986891778401395E-4
2025-04-08,1.4212726606399395E-4,1.1130027996828215E-4,1.796740689316855E-4
2025-04-09,1.730019776850876E-4,1.3503576337809003E-4,1.9945876680201984E-4
2025-04-10,1.2148455809749558E-4,9.600715189769054E-5,1.6244563953269543E-4
2025-04-11,1.5279671599528253E-4,1.298704814565905E-4,1.8385884776010838E-4
2025-04-12,9.676077912620745E-5,8.395688928445992E-5,1.2278668840884997E-4
2025-04-13,1.242797252219515E-4,8.810938015809282E-5,1.6075358144036523E-4
2025-04-14,1.3130528663648892E-4,1.0113097232521259E-4,1.7847090615807307E-4
2025-04-15,1.2444037786632617E-4,9.554244752489191E-5,1.6733726079140137E-4
2025-04-16,1.1475782088279633E-4,8.916061871091314E-5,1.5062031516875575E-4
2025-04-17,9.574006860110959E-5,7.968172576495879E-5,1.0931136057491191E-4
2025-04-18,6.510108386638905E-5,5.555526149681277E-5,8.946609887071367E-5
2025-04-19,9.86753607021234E-5,6.777332600896345E-5,1.2110961688462773E-4
2025-04-20,1.0264486559200907E-4,8.402016101155955E-5,1.1918402533080981E-4
2025-04-21,1.0707153217340493E-4,9.571909686197205E-5,1.1497935702221862E-4
2025-04-22,1.0242964758174562E-4,8.395284385202643E-5,1.1161133443249357E-4
2025-04-23,1.018154052410511E-4,7.70633414503245E-5,1.661119513840954E-4
2025-04-24,9.498907273031031E-5,7.334329072951866E-5,1.357994769934058E-4
2025-04-25,9.490002235486315E-5,7.693891529910298E-5,1.0287179611610715E-4
2025-04-26,7.743405817081477E-5,6.524716445702536E-5,9.144094656238006E-5
2025-04-27,7.030180812198124E-5,5.993521517659197E-5,8.324886948700126E-5
2025-04-28,1.0450076513302112E-4,9.23018087631908E-5,1.3426912482842498E-4
2025-04-29,9.452976488318645E-5,7.981427916077373E-5,1.1707922785221681E-4
2025-04-30,1.4135056465202153E-4,9.980823798337189E-5,1.6017904272320397E-4
2025-05-01,1.0371951384856912E-4,8.806835830899368E-5,1.310301449849647E-4
2025-05-02,9.756320720274723E-5,8.45675840866083E-5,1.0662344357125861E-4
2025-05-03,9.726096358245454E-5,8.655557990880849E-5,1.1205443297532972E-4
2025-05-04,8.602648819563272E-5,7.413809362324207E-5,1.1405142122565589E-4
2025-05-05,1.2634862550948563E-4,9.279411460728112E-5,1.6881804913299248E-4
2025-05-06,9.240861822191793E-5,7.437244494198418E-5,1.299381838181422E-4
2025-05-07,1.081628232083E-4,9.565131404076188E-5,1.1451184724329739E-4
2025-05-08,9.936174560919008E-5,9.158714965433808E-5,1.1594204261221345E-4
2025-05-09,9.694621384453465E-5,8.585027535461422E-5,1.0926411050616535E-4
2025-05-10,1.0802884115288042E-4,9.101197792911778E-5,1.2965031568974147E-4
2025-05-11,1.283222325246787E-4,8.895625069260901E-5,1.6130179574276447E-4
2025-05-12,1.148052263044186E-4,8.948955655785516E-5,1.4123642176880745E-4
2025-05-13,9.209585181787864E-5,8.615888873453898E-5,1.1414764547021627E-4
2025-05-14,8.845043216089412E-5,7.09873420418304E-5,1.1223524052196276E-4
2025-05-15,1.1075471359041162E-4,9.440424764750164E-5,1.2426305329440632E-4
2025-05-16,1.2312225195564044E-4,8.977697071391862E-5,1.708135241645665E-4
2025-05-17,8.462097692233556E-5,7.07537255947042E-5,1.0521115473249255E-4
2025-05-18,9.187031003080779E-5,7.551022281401392E-5,1.0416277692436142E-4
2025-05-19,1.0355049497356205E-4,7.905923121133471E-5,1.2861008872292015E-4
2025-05-20,1.1896215746336841E-4,1.1211990204160369E-4,1.343348558295116E-4
2025-05-21,1.1116851380047892E-4,8.753423159775055E-5,1.381860929543774E-4
2025-05-22,1.143912399196443E-4,9.62589765547777E-5,1.45563768455904E-4
2025-05-23,1.1337353561648571E-4,1.0002315774982094E-4,1.2193947439268757E-4
2025-05-24,1.000449328164504E-4,8.90883165992639E-5,1.1228430957994332E-4
2025-05-25,8.285315473590482E-5,7.35463909221323E-5,1.0342611494717269E-4
2025-05-26,1.1849841011430786E-4,9.882001177155872E-5,1.3115303590917321E-4
2025-05-27,1.0789888481709672E-4,9.169449913304268E-5,1.248843327631669E-4
2025-05-29,1.1915340903255731E-4,1.115512386602522E-4,1.2741650238631502E-4
2025-05-30,1.1403428902105648E-4,9.194001177081778E-5,1.3122922973730908E-4
2025-05-31,1.1710145613429506E-4,1.0094208260394106E-4,1.2838224938618937E-4
2025-06-01,1.1782143165321482E-4,8.164358587227098E-5,1.387725642419121E-4
2025-06-02,1.0059286429664561E-4,8.551246542577404E-5,1.120773304139416E-4
2025-06-03,9.973837375232928E-5,9.374807996199086E-5,1.0516915438190938E-4
2025-06-04,8.406520039478699E-5,6.079438026055714E-5,9.339336247665833E-5
2025-06-05,9.407370991915575E-5,7.194653153432428E-5,1.1070776963618513E-4
2025-06-06,9.119629155437827E-5,7.558891229577912E-5,1.1227892537147838E-4
2025-06-07,9.501957370031052E-5,7.961956725911751E-5,1.0672436474135572E-4
2025-06-08,9.862685407432176E-5,8.425553096448019E-5,1.0751715826420812E-4
2025-06-09,1.2054778981227686E-4,9.575970761932756E-5,1.3421250332627135E-4
2025-06-10,1.0640821310378388E-4,9.13355979718083E-5,1.281472359550575E-4
2025-06-11,8.698905586089455E-5,7.151289173625983E-5,1.0359798113698652E-4
2025-06-12,9.573980623201309E-5,8.128106638870818E-5,1.1468929733395006E-4
2025-06-13,9.228600315882333E-5,7.991426537036443E-5,1.146542126664159E-4
2025-06-14,9.838678276976227E-5,8.392578821492998E-5,1.1683791672133424E-4
2025-06-15,9.099009662763852E-5,6.116867734810312E-5,1.0175354691473433E-4
2025-06-16,9.303864654471281E-5,8.720980300027735E-5,1.0192904301231632E-4
2025-06-17,1.1053191062813331E-4,8.732618880447504E-5,1.3118951756035949E-4
2025-06-18,1.1441861760318928E-4,1.030070270643242E-4,1.4579988783207598E-4
2025-06-19,9.412383873056113E-5,7.941587150847527E-5,1.0932303484889417E-4
2025-06-20,9.458137196365605E-5,7.379973976631012E-5,1.0869241668862272E-4
2025-06-21,7.451774727848614E-5,6.587716052300627E-5,9.248221683744614E-5
2025-06-22,9.471397514774829E-5,7.219972030716506E-5,1.2071512032375863E-4
2025-06-23,1.1825170339597192E-4,9.374086948798689E-5,1.2461258901245927E-4
2025-06-24,1.0200227680526484E-4,8.937025189373376E-5,1.1781715147684088E-4
2025-06-25,9.58307853311076E-5,8.754945883976139E-5,1.046641700670142E-4
2025-06-26,1.0018609864124869E-4,9.034833055903438E-5,1.1034603812751639E-4
2025-06-27,1.2424309073043815E-4,1.0605067654965524E-4,1.5188367790177777E-4
2025-06-28,1.2483005934599067E-4,8.175869879775017E-5,1.429069723640887E-4
2025-06-29,8.86073465025338E-5,7.423699571509154E-5,1.0768547295667123E-4
2025-06-30,1.0710873409011293E-4,8.362122115579415E-5,1.2480535224335354E-4
2025-07-01,8.026902065835576E-5,6.337036029427949E-5,9.790593321685585E-5
2025-07-02,1.1005513499694001E-4,9.630896965990393E-5,1.2869571219212397E-4
2025-07-03,1.0268633910982098E-4,7.18598748789222E-5,1.2442604929687942E-4
2025-07-04,1.0357966047707401E-4,7.426497904807566E-5,1.1504075805840545E-4
2025-07-05,1.2004272457454518E-4,1.0203366400654267E-4,1.279160675985242E-4
2025-07-06,9.735800306743842E-5,8.143599538723532E-5,1.0557862697188164E-4
2025-07-07,9.54456798735461E-5,6.823191506546965E-5,1.0873891005770018E-4
2025-07-08,9.591228394250911E-5,7.935018220441031E-5,1.2171128764761805E-4
2025-07-09,9.850493392377838E-5,8.279259679830796E-5,1.1673337576225052E-4
2025-07-10,1.246035173759723E-4,1.0901638523410853E-4,1.3773304817746174E-4
2025-07-11,1.0986335155551537E-4,1.0452094284114665E-4,1.2030736979790532E-4
2025-07-12,8.48515245107409E-5,7.459622196259266E-5,1.1178114169093444E-4
2025-07-13,8.498381398037759E-5,7.542016828650934E-5,9.78688040051506E-5
2025-07-14,1.1214645446942513E-4,9.167571261055615E-5,1.2043195602031479E-4
2025-07-15,1.1453028255406657E-4,1.0867667151601742E-4,1.1853004980387984E-4
2025-07-16,9.339104104881245E-5,7.8731213708632E-5,1.0450878107791102E-4
2025-07-17,8.460492575431612E-5,6.469513755283794E-5,1.082924063667901E-4
2025-07-18,8.393008932785875E-5,7.130255835349861E-5,1.040276329150623E-4
2025-07-19,1.0078678908877134E-4,7.88404649936933E-5,1.1446951975833714E-4
2025-07-20,9.768345868126543E-5,7.613110938123143E-5,1.1154441745031585E-4
2025-07-21,9.430045180729102E-5,8.67771086630597E-5,1.0839549941021594E-4
2025-07-22,7.959157583499082E-5,7.173873746055284E-5,9.433460945746125E-5
2025-07-23,9.223037184800698E-5,7.235954399217585E-5,1.0400631435909567E-4
2025-07-24,1.0126484128819042E-4,7.249976624747733E-5,1.3016293814885612E-4
2025-07-25,1.091091265885263E-4,9.247344947630419E-5,1.2198661546000844E-4
2025-07-26,1.0771115759815046E-4,9.196394967130308E-5,1.1931553589502676E-4
2025-07-27,9.151344030678233E-5,8.163018355834566E-5,9.89513500827509E-5
2025-07-28,8.877187507879978E-5,7.657434616694182E-5,1.1870221351286263E-4
